selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,mean_BER_oof,std_BER_fold,mean_True+_oof,mean_True-_oof,mean_n_selected_features,min_n_selected_features,max_n_selected_features,n_folds
Gram-Schmidt,krr,strict,0.1,,,,-0.7340260419197491,0.36407671276092324,0.038980747470744544,0.6730769230769231,0.5987696514012304,40.0,40,40,10
Gram-Schmidt,krr,strict,0.1,0.01,,,-0.4084238030418434,0.37023174194226827,0.05661886203939715,0.5288461538461539,0.7306903622693096,40.0,40,40,10
Gram-Schmidt,krr,strict,0.1,0.1,,,-0.6106603667543934,0.37088897944161103,0.09000677991846213,0.6826923076923077,0.5755297334244702,40.0,40,40,10
Gram-Schmidt,krr,strict,0.1,1.0,,,-7.431467410892749e-09,0.36840790788159206,0.08135450192965947,0.5769230769230769,0.6862611073137389,40.0,40,40,10
Gram-Schmidt,krr,strict,1.0,,,,-0.38441385948249424,0.34405068615594936,0.0728902961575378,0.6153846153846154,0.696514012303486,40.0,40,40,10
Gram-Schmidt,krr,strict,1.0,0.01,,,-0.25834672975870865,0.3419771018455229,0.08548223402055383,0.625,0.6910457963089542,40.0,40,40,10
Gram-Schmidt,krr,strict,1.0,0.1,,,-0.20713032314834068,0.36148391082601616,0.09458840648683246,0.47115384615384615,0.8058783321941216,40.0,40,40,10
Gram-Schmidt,krr,strict,1.0,1.0,,,-2.72937856895641e-09,0.3708002523791998,0.07904570432487082,0.5769230769230769,0.6814764183185236,40.0,40,40,10
Gram-Schmidt,krr,strict,10.0,,,,-0.1521554650259038,0.33411654135338353,0.07185651196754049,0.625,0.706766917293233,40.0,40,40,10
Gram-Schmidt,krr,strict,10.0,0.01,,,-0.024743675230447945,0.33329828066670175,0.07684571853846325,0.5384615384615384,0.7949419002050581,40.0,40,40,10
Gram-Schmidt,krr,strict,10.0,0.1,,,-0.04432014557561577,0.3532125768967874,0.08933491858949225,0.5,0.7935748462064252,40.0,40,40,10
Gram-Schmidt,krr,strict,10.0,1.0,,,-2.8148882866404307e-10,0.35703769914296224,0.0652363049767971,0.6153846153846154,0.67053998632946,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,0.1,,,,-0.5701973449830637,0.359591066827909,0.06944861822590895,0.5480769230769231,0.732740943267259,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,0.1,0.01,,,-0.4313990788851243,0.3492231452757768,0.07248590352020229,0.5961538461538461,0.7053998632946001,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,0.1,0.1,,,-0.49275825542960006,0.3530515537094485,0.07460276160078308,0.5673076923076923,0.7265892002734108,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,0.1,1.0,,,-4.3160480969887815e-07,0.370957989379042,0.10375589555270064,0.6538461538461539,0.6042378673957621,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,1.0,,,,-0.40001166815861966,0.31894092749355907,0.06238566908984776,0.6826923076923077,0.6794258373205742,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,1.0,0.01,,,-0.465245295235006,0.3299200799200799,0.0728897984464277,0.8076923076923077,0.5324675324675324,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,1.0,0.1,,,-0.32091571247655604,0.34685380409064615,0.06924304744879596,0.5865384615384616,0.719753930280246,40.0,40,40,10
