selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,mean_BER_oof,std_BER_fold,mean_True+_oof,mean_True-_oof,mean_n_selected_features,min_n_selected_features,max_n_selected_features,n_folds
Pearson,logreg,strict,,,10.0,,0.4391130019125951,0.3296276092328724,0.07714032116392444,0.6442307692307693,0.696514012303486,40.0,40,40,10
Pearson,logreg,with_missing_indicators,,,0.01,,0.44975229668026334,0.31408722856091276,0.08744909973262537,0.7115384615384616,0.6602870813397129,40.0,40,40,10
Pearson,logreg,with_missing_indicators,,,0.1,,0.4526181480667534,0.3127891844997108,0.06661077610119695,0.6826923076923077,0.6917293233082706,40.0,40,40,10
Pearson,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.30613794100636205,0.059983034950238844,0.6057692307692307,0.7819548872180451,40.0,40,40,10
Pearson,logreg,with_missing_indicators,,,10.0,,0.5294376911678234,0.3130192176244808,0.05639310676082066,0.5865384615384616,0.7874231032125769,40.0,40,40,10
ReliefF,logreg,strict,,,0.01,10.0,0.5498446038137571,0.32026526105473474,0.0833915863954984,0.5576923076923077,0.8017771701982228,40.0,40,40,10
ReliefF,logreg,strict,,,0.1,10.0,0.40631540693970053,0.3017147326357852,0.08278617644594272,0.7403846153846154,0.6561859193438141,40.0,40,40,10
ReliefF,logreg,strict,,,1.0,10.0,0.4508161419215685,0.3114451338135549,0.07355723858187158,0.6730769230769231,0.7040328092959672,40.0,40,40,10
ReliefF,logreg,strict,,,10.0,10.0,0.4599142528428909,0.3118329039381671,0.08213451492179306,0.6538461538461539,0.722488038277512,40.0,40,40,10
ReliefF,logreg,with_missing_indicators,,,0.01,10.0,0.43690271770432265,0.32329183973920816,0.08168930965497402,0.7211538461538461,0.6322624743677375,40.0,40,40,10
ReliefF,logreg,with_missing_indicators,,,0.1,10.0,0.4302311803184964,0.3079354855670645,0.09286089187818945,0.7115384615384616,0.6725905673274094,40.0,40,40,10
ReliefF,logreg,with_missing_indicators,,,1.0,10.0,0.4191875851264801,0.3158420526841579,0.09070391775399186,0.6923076923076923,0.6760082023239918,40.0,40,40,10
ReliefF,logreg,with_missing_indicators,,,10.0,10.0,0.5206471326191269,0.32158630842841374,0.0859644049253078,0.5769230769230769,0.7799043062200957,40.0,40,40,10
Gram-Schmidt,logreg,strict,,,0.01,,0.48750382462932124,0.34560176665439823,0.06280928341028823,0.5384615384615384,0.7703349282296651,40.0,40,40,10
Gram-Schmidt,logreg,strict,,,0.1,,0.2575251824334275,0.35910799726589193,0.076013613993194,0.75,0.531784005468216,40.0,40,40,10
Gram-Schmidt,logreg,strict,,,1.0,,0.2781779868627434,0.3585624901414375,0.09174525902837848,0.6923076923076923,0.5905673274094326,40.0,40,40,10
Gram-Schmidt,logreg,strict,,,10.0,,0.22227322497319116,0.3570574162679425,0.08331390889404829,0.75,0.5358851674641149,40.0,40,40,10
Gram-Schmidt,logreg,with_missing_indicators,,,0.01,,0.3414385308886336,0.34434315684315686,0.07085983392681296,0.7788461538461539,0.5324675324675324,40.0,40,40,10
Gram-Schmidt,logreg,with_missing_indicators,,,0.1,,0.2728247391203303,0.3395814711604185,0.0590956908270121,0.7692307692307693,0.5516062884483938,40.0,40,40,10
Gram-Schmidt,logreg,with_missing_indicators,,,1.0,,0.2588140949991939,0.34377464640622535,0.06887971753341512,0.7307692307692307,0.5816814764183186,40.0,40,40,10
Gram-Schmidt,logreg,with_missing_indicators,,,10.0,,0.2652006192903079,0.3400382512224618,0.0736952853408848,0.7211538461538461,0.5987696514012304,40.0,40,40,10
