selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
ReliefF,krr,with_missing_indicators,5,1410,157,11,40,0.2938978829389789,0.7272727272727273,0.684931506849315,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,6,1410,157,11,40,0.25280199252801994,0.7272727272727273,0.7671232876712328,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,7,1410,157,11,40,0.43026151930261525,0.45454545454545453,0.684931506849315,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,8,1411,156,10,40,0.34041095890410955,0.6,0.7191780821917808,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,9,1411,156,10,40,0.3198630136986301,0.6,0.7602739726027398,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,10,1411,156,10,40,0.18698630136986294,0.9,0.726027397260274,-0.06518485693134643,10.0,0.01,,10.0
Gram-Schmidt,krr,strict,1,1410,157,10,40,0.24863945578231295,0.7,0.8027210884353742,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,2,1410,157,10,40,0.2986394557823129,0.6,0.8027210884353742,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,3,1410,157,10,40,0.2656462585034014,0.7,0.7687074829931972,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,4,1410,157,11,40,0.3060398505603985,0.5454545454545454,0.8424657534246576,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,5,1410,157,11,40,0.3334371108343711,0.5454545454545454,0.7876712328767124,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,6,1410,157,11,40,0.44925280199252804,0.2727272727272727,0.8287671232876712,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,7,1410,157,11,40,0.3891656288916563,0.45454545454545453,0.7671232876712328,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,8,1411,156,10,40,0.46301369863013697,0.3,0.773972602739726,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,9,1411,156,10,40,0.263013698630137,0.7,0.773972602739726,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,strict,10,1411,156,10,40,0.2993150684931507,0.6,0.8013698630136986,-0.024743675230447945,10.0,0.01,,
Gram-Schmidt,krr,with_missing_indicators,1,1410,157,10,40,0.25646258503401365,0.8,0.6870748299319728,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,2,1410,157,10,40,0.2598639455782312,0.8,0.6802721088435374,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,3,1410,157,10,40,0.32006802721088445,0.7,0.6598639455782312,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,4,1410,157,11,40,0.3222291407222915,0.6363636363636364,0.7191780821917808,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,5,1410,157,11,40,0.25529265255292644,0.8181818181818182,0.6712328767123288,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,6,1410,157,11,40,0.35647571606475714,0.6363636363636364,0.6506849315068494,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,7,1410,157,11,40,0.38138231631382324,0.5454545454545454,0.6917808219178082,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,8,1411,156,10,40,0.4472602739726027,0.4,0.7054794520547946,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,9,1411,156,10,40,0.27808219178082183,0.8,0.6438356164383562,-0.40001166815861966,1.0,,,
Gram-Schmidt,krr,with_missing_indicators,10,1411,156,10,40,0.30753424657534256,0.7,0.684931506849315,-0.40001166815861966,1.0,,,
S2N,logreg,strict,1,1410,157,10,40,0.22925170068027212,0.8,0.7414965986394558,0.47072904872500476,,,10.0,
S2N,logreg,strict,2,1410,157,10,40,0.263265306122449,0.8,0.673469387755102,0.47072904872500476,,,10.0,
S2N,logreg,strict,3,1410,157,10,40,0.3326530612244898,0.6,0.7346938775510204,0.47072904872500476,,,10.0,
S2N,logreg,strict,4,1410,157,11,40,0.4654420921544209,0.36363636363636365,0.7054794520547946,0.47072904872500476,,,10.0,
S2N,logreg,strict,5,1410,157,11,40,0.2141967621419676,0.8181818181818182,0.7534246575342466,0.47072904872500476,,,10.0,
S2N,logreg,strict,6,1410,157,11,40,0.30510585305105853,0.6363636363636364,0.7534246575342466,0.47072904872500476,,,10.0,
S2N,logreg,strict,7,1410,157,11,40,0.3848069738480697,0.5454545454545454,0.684931506849315,0.47072904872500476,,,10.0,
S2N,logreg,strict,8,1411,156,10,40,0.5335616438356164,0.2,0.7328767123287672,0.47072904872500476,,,10.0,
S2N,logreg,strict,9,1411,156,10,40,0.3280821917808219,0.7,0.6438356164383562,0.47072904872500476,,,10.0,
S2N,logreg,strict,10,1411,156,10,40,0.34726027397260273,0.6,0.7054794520547946,0.47072904872500476,,,10.0,
S2N,logreg,with_missing_indicators,1,1410,157,10,40,0.22108843537414968,1.0,0.5578231292517006,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,2,1410,157,10,40,0.39489795918367343,0.7,0.5102040816326531,0.40416100359229173,,,0.01,
